,end_sample,flux,freesound_id,id,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,rolloff,spectral_centroid_time,start_sample
0,6144,0.004597978835756128,,None_f0,0.013901608911427584,-666.1878051757812,86.24078369140625,15.896734237670898,9.484134674072266,3.1854934692382812,33.125160217285156,53.02566909790039,32.73137283325195,31.576820373535156,25.003740310668945,22.73554039001465,19.48138999938965,20.082229614257812,464784__thenotoriousszin__linn-loop.wav,13388.19921875,2421.893798828125,512
1,24064,0.0018670724970953805,,None_f1,0.006158726555960519,-879.7392578125,106.9390869140625,18.18475341796875,14.607124328613281,10.991119384765625,32.18048858642578,54.34326934814453,34.83306121826172,34.292022705078125,28.615558624267578,27.080312728881836,23.091686248779297,22.18773651123047,464784__thenotoriousszin__linn-loop.wav,10816.423828125,2267.692138671875,6144
2,30208,0.004609979999562104,,None_f2,0.014369120200475058,-610.472900390625,77.51895141601562,12.235870361328125,8.562975883483887,1.4675750732421875,27.308895111083984,47.796775817871094,28.032712936401367,29.507078170776367,21.847633361816406,21.970308303833008,17.856979370117188,16.984745025634766,464784__thenotoriousszin__linn-loop.wav,13223.5390625,2676.369873046875,24064
3,48128,0.001879524758883885,,None_f3,0.006213829347065517,-880.1214599609375,107.19488525390625,18.155223846435547,14.658023834228516,11.070415496826172,32.08595657348633,54.23243713378906,34.8023796081543,34.305419921875,28.719558715820312,27.166902542114258,23.087074279785156,22.139545440673828,464784__thenotoriousszin__linn-loop.wav,10719.2119140625,2252.943603515625,30208
4,72192,0.001338357462527904,,None_f4,0.004357844591140747,-940.5324096679688,108.74612426757812,18.311115264892578,15.771728515625,11.236629486083984,30.168800354003906,54.186092376708984,35.90510559082031,35.32353591918945,27.48046875,25.8464412689209,21.90298080444336,21.835439682006836,464784__thenotoriousszin__linn-loop.wav,8196.7021484375,2354.815185546875,48128
5,90624,0.001654876603020562,,None_f5,0.0052898166080315905,-889.4514770507812,102.42408752441406,18.532665252685547,15.30093002319336,9.8489990234375,33.57145309448242,55.32152557373047,34.9232063293457,35.36042022705078,28.12567138671875,26.01564598083496,21.744678497314453,21.916629791259766,464784__thenotoriousszin__linn-loop.wav,8857.8046875,2490.552490234375,72192
6,96256,0.002915732223879207,,None_f6,0.007550700144334273,-670.0848388671875,-67.68455505371094,18.366771697998047,19.23129653930664,16.493331909179688,-3.1900482177734375,26.812849044799805,1.5832176208496094,32.25796890258789,15.656425476074219,28.956823348999023,18.812101364135742,20.84374237060547,464784__thenotoriousszin__linn-loop.wav,6022.5361328125,6887.19580078125,90624
7,120320,0.0012964050662010273,,None_f7,0.004175780618444402,-942.2149047851562,109.02973937988281,18.192825317382812,15.280784606933594,11.16015625,29.808612823486328,54.28225326538086,35.910221099853516,35.44288635253906,27.724945068359375,25.547914505004883,21.951587677001953,22.008901596069336,464784__thenotoriousszin__linn-loop.wav,8478.0205078125,2430.739990234375,96256
8,144384,0.0009068106400205734,,None_f8,0.0025866483437254075,-925.181640625,110.9776382446289,2.615863800048828,3.8370132446289062,8.784980773925781,-63.56303024291992,-9.342205047607422,2.2794647216796875,-15.525344848632812,-5.97003173828125,-1.6809463500976562,3.852710723876953,4.973716735839844,464784__thenotoriousszin__linn-loop.wav,1994.8822021484375,1709.329833984375,120320
9,150528,0.004474633683760961,,None_f9,0.013806654761234919,-617.4851684570312,78.01920318603516,12.408733367919922,8.471826553344727,1.3649177551269531,27.682462692260742,48.21828842163086,28.457075119018555,29.625137329101562,21.952795028686523,21.897747039794922,17.823549270629883,17.102935791015625,464784__thenotoriousszin__linn-loop.wav,13130.212890625,2756.703857421875,144384
10,168448,0.001866723597049713,,None_f10,0.00615718492439815,-882.4406127929688,107.92399597167969,18.47677230834961,14.699848175048828,11.31296157836914,31.64061737060547,54.29969787597656,34.96757507324219,34.30609893798828,28.801185607910156,26.860322952270508,23.30093002319336,22.22262191772461,464784__thenotoriousszin__linn-loop.wav,10745.052734375,2267.343017578125,150528
11,174592,0.004610582875708739,,None_f11,0.014371638496716818,-618.595703125,78.64265441894531,12.664899826049805,8.74216079711914,1.7021045684814453,28.05052375793457,48.40457534790039,28.599609375,29.86745834350586,22.30571174621582,22.212879180908203,18.11574935913086,17.378681182861328,464784__thenotoriousszin__linn-loop.wav,13018.9404296875,2675.786865234375,168448
12,192512,0.0018793727670397078,,None_f12,0.006213157091821943,-882.9508056640625,108.09048461914062,18.292034149169922,14.712329864501953,11.363204956054688,31.732437133789062,54.22252655029297,34.87137222290039,34.304264068603516,28.821056365966797,27.238941192626953,23.194839477539062,22.229276657104492,464784__thenotoriousszin__linn-loop.wav,10657.6845703125,2253.125244140625,174592
13,216576,0.001338761696156035,,None_f13,0.004359608634989312,-942.8292236328125,109.51493835449219,18.392723083496094,15.822040557861328,11.450489044189453,29.83477783203125,54.16579055786133,35.97693634033203,35.32080841064453,27.528644561767578,25.864707946777344,21.957988739013672,21.90374183654785,464784__thenotoriousszin__linn-loop.wav,8152.7177734375,2354.102783203125,192512
14,235008,0.0016555129032995966,,None_f14,0.005292541864845488,-892.9310302734375,103.44607543945312,18.705188751220703,15.421209335327148,10.14657211303711,33.32698440551758,55.38799285888672,35.02748107910156,35.41735076904297,28.26555633544922,26.0507755279541,21.804431915283203,22.019977569580078,464784__thenotoriousszin__linn-loop.wav,8826.69921875,2498.589111328125,216576
15,240640,0.0029119991443373942,,None_f15,0.007537747648629275,-678.43212890625,-66.57783508300781,18.130931854248047,19.222881317138672,16.543590545654297,-1.9601116180419922,27.79572868347168,2.1639957427978516,32.68311309814453,16.051420211791992,29.205745697021484,19.119464874267578,20.881351470947266,464784__thenotoriousszin__linn-loop.wav,5830.66064453125,6885.21044921875,235008
16,264704,0.0012964210770231611,,None_f16,0.004175849734468663,-944.4773559570312,109.79399108886719,18.274795532226562,15.320392608642578,11.372703552246094,29.46590805053711,54.26603698730469,35.978057861328125,35.44404983520508,27.77859115600586,25.56047821044922,22.01451873779297,22.082717895507812,464784__thenotoriousszin__linn-loop.wav,8469.7734375,2430.7119140625,240640
17,288768,0.0009061271681430492,,None_f17,0.0025840362018727243,-929.134765625,109.9159164428711,2.464794158935547,4.1011199951171875,8.723487854003906,-62.8621940612793,-9.908367156982422,2.9897308349609375,-15.747856140136719,-5.775398254394531,-1.580413818359375,3.731334686279297,5.2444915771484375,464784__thenotoriousszin__linn-loop.wav,1942.6505126953125,1710.6224365234375,264704
18,294912,0.004475319758057594,,None_f18,0.013809493432442347,-625.8148803710938,79.15310668945312,12.855880737304688,8.65156364440918,1.6090965270996094,28.453338623046875,48.86149597167969,29.059938430786133,29.98699951171875,22.42354965209961,22.131750106811523,18.10926628112793,17.506298065185547,464784__thenotoriousszin__linn-loop.wav,12929.2041015625,2756.29931640625,288768
19,301056,0.0049978212142984075,,None_f19,0.016011780748764675,-644.63525390625,82.69633483886719,14.057844161987305,9.211328506469727,2.4657516479492188,30.774242401123047,50.3420524597168,30.238414764404297,30.305309295654297,23.688684463500977,22.645294189453125,18.853580474853516,18.76751708984375,464784__thenotoriousszin__linn-loop.wav,16985.283203125,2481.350341796875,294912
20,312832,0.0017426483657049096,,None_f20,0.004868110236914262,-868.4630126953125,167.10516357421875,-4.927852630615234,-4.103019714355469,-1.5727386474609375,37.49958419799805,45.55043029785156,29.717819213867188,26.432540893554688,18.154296875,10.650138854980469,1.6491012573242188,-1.4760513305664062,464784__thenotoriousszin__linn-loop.wav,13692.53515625,233.26609802246094,301056
21,318976,0.004615618226428826,,None_f21,0.014392673969268799,-626.800048828125,79.7782974243164,13.111351013183594,8.929168701171875,1.9536800384521484,28.82276725769043,49.02586364746094,29.185853958129883,30.205501556396484,22.77112579345703,22.423871994018555,18.401514053344727,17.75282859802246,464784__thenotoriousszin__linn-loop.wav,12839.4677734375,2673.136474609375,312832
22,325120,0.005057763618727525,,None_f22,0.016269637892643612,-646.2617797851562,82.99003601074219,14.173820495605469,9.339473724365234,2.555744171142578,30.896194458007812,50.53899383544922,30.330154418945312,30.263349533081055,23.826852798461914,22.661985397338867,18.985733032226562,18.766340255737305,464784__thenotoriousszin__linn-loop.wav,17010.41015625,2451.131591796875,318976
23,336896,0.0017240909130676932,,None_f23,0.004798769950866699,-868.5891723632812,166.83145141601562,-4.643302917480469,-4.433269500732422,-1.8900718688964844,37.618431091308594,45.38404846191406,30.15158462524414,26.524765014648438,17.884506225585938,10.330631256103516,2.0971717834472656,-1.4882926940917969,464784__thenotoriousszin__linn-loop.wav,13696.2802734375,236.0570526123047,325120
24,360960,0.0013392819686138884,,None_f24,0.004361878684226503,-944.96728515625,110.22654724121094,18.46133041381836,15.864566802978516,11.65457534790039,29.501182556152344,54.143035888671875,36.031150817871094,35.32598114013672,27.554988861083984,25.8856143951416,22.002925872802734,21.975080490112305,464784__thenotoriousszin__linn-loop.wav,8110.56591796875,2352.966552734375,336896
25,373248,0.002517011482268572,,None_f25,0.008083693062265715,-812.4727783203125,95.08795928955078,18.130279541015625,14.175840377807617,7.928173065185547,36.95347595214844,55.244842529296875,33.683223724365234,34.23291778564453,27.918102264404297,25.990318298339844,21.774303436279297,22.032184600830078,464784__thenotoriousszin__linn-loop.wav,15101.3876953125,2463.029296875,360960
